Doc Name,Observation Unit,Source Document,Judges On Panel,Appointing Presidents On Panel,Appointing Parties On Panel,Policy Instrument Purpose,Plaintiff Immigration Status Type,Policy Instrument Type,Policy Instrument Issuing Authority,Court Decision Legal Basis,Decision Date,Immigration Policy At Issue,Executive Order Name,Legal Challenge Grounds,Defendant Entity Types,Injunction Scope,Policy Instrument Date,Judge Names,Judge Decision Outcome,Case Subject Matter,Administration At Issue,Policy Instrument Target Group,Executive Order Number,Judge Decision Tendency,Court Level,Case Proceeding Type,Plaintiff Entity Types,Court name
"Fernando Rodriguez, Jr.","Fernando Rodriguez, Jr.",JAV2025-05-01SDTX,"Fernando Rodriguez, Jr. served as the judge on the panel.",,,"To declare that Tren de Aragua (TdA) is perpetrating, attempting, and threatening an invasion or predatory incursion against the territory of the United States, and to invoke the Alien Enemies Act (AEA) to apprehend, restrain, secure, and remove Venezuelan citizens identified as members of TdA.",Venezuelan nationals seeking asylum.,Proclamation,President of the United States,"The court found that the Proclamation's invocation of the AEA was unlawful because the actions of Venezuelan gang members, as described in the Proclamation, did not fall within the plain, ordinary meaning of an “invasion” or “predatory incursion.”","May 1, 2025","The Proclamation issued by President Trump invoking the Alien Enemies Act (AEA) to declare Tren de Aragua (TdA) members as ""alien enemies"" liable for apprehension and removal.",None,"Challenged the President's invocation of the AEA, arguing that the Proclamation failed to provide reasonable notice and a meaningful opportunity to challenge their designation as alien enemies, that the Proclamation did not fall within the statutory bounds of the AEA because no ""invasion"" or ""predatory incursion"" had occurred or been threatened by a ""foreign nation or government,"" and that the Proclamation violated protections for noncitizens seeking humanitarian protection under the INA.",President of the United States,"Nationwide, initially, then limited to the Southern District of Texas for the certified class.","March 15, 2025","Fernando Rodriguez, Jr.","The court granted the class petition for a writ of habeas corpus and entered a permanent injunction against detaining, transferring, or removing class members under the AEA based on the challenged proclamation, finding the proclamation's invocation of the AEA unlawful.",Detention/Removal,Trump Administration,"Venezuelan citizens 14 years of age or older who are members of Tren de Aragua (TdA), are within the United States, and are not naturalized or lawful permanent residents.",None,Unsupportive of Government Immigration Policy,District Court,Motion for Summary Judgment,Individual Noncitizen,"United States District Court, S.D. Texas, Brownsville Division"
James E. Boasberg,James E. Boasberg,JGG2025-06-04DDC,James E. Boasberg,None,None,"To apprehend and remove 'alien enemies' from the United States when the country is at war or has suffered an invasion or predatory incursion, based on the President's proclamation.",Undocumented,Proclamation,President of the United States,Fifth Amendment - Due Process (Procedural),"June 4, 2025","Summary removal of Venezuelan noncitizens from the United States to El Salvador under the Presidential Proclamation invoking the Alien Enemies Act, based on allegations of membership in the Tren de Aragua gang.",Invocation of the Alien Enemies Act Regarding the Invasion of The United States by Tren De Aragua,Fifth Amendment,President of the United States,Nationwide,"March 15, 2025",James E. Boasberg,Granted in part and denied in part the motions for preliminary injunction and class certification.,Immigration Enforcement,Trump Administration,Venezuelan noncitizens deemed members of the Tren de Aragua gang.,None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, District of Columbia"
Judge Katsas,Judge Katsas,JGG2025-06-10CADC,,Donald J. Trump,Republican,To provide the court sufficient opportunity to consider the emergency motion for a stay pending appeal.,Other Nonimmigrant,Order,United States Court of Appeals for the District of Columbia Circuit,Jurisdiction,"June 10, 2025",The district court's order granting in part appellees' motion for a preliminary injunction and granting in part their motion for class certification.,None,Administrative Procedure Act (APA),President of the United States,Class-wide,"June 4, 2025",Katsas,"The court issued an administrative stay of the district court's order granting in part a preliminary injunction and class certification, pending further order of the court.",Immigration Enforcement,Trump Administration,"Appellants (Donald J. Trump, et al.)",None,Neutral/Procedural,Court of Appeals,Stay Pending Appeal,Class Action,United States Court of Appeals FOR THE DISTRICT OF COLUMBIA CIRCUIT
Judge Rao,Judge Rao,JGG2025-06-10CADC,,Trump,Republican,To provide sufficient opportunity for the court to consider the emergency motion for a stay pending appeal.,,O R D E R,United States Court of Appeals for the District of Columbia Circuit,Administrative Procedure Act (APA) - Arbitrary and Capricious,"June 10, 2025",The district court's order granting in part appellees' motion for a preliminary injunction and granting in part their motion for class certification.,None,Administrative Procedure Act (APA),President of the United States,Class-wide,"June 10, 2025",Katsas,The court issued an administrative stay of portions of the district court's order pending further consideration of the emergency motion for a stay pending appeal.,Immigration Enforcement,Trump Administration,"Appellants (Donald J. Trump, in his official capacity as President of the United States, et al.)",None,Neutral/Procedural,Court of Appeals,Stay of Agency Action,Class Action,United States Court of Appeals for the District of Columbia Circuit
Judge Walker,Judge Walker,JGG2025-06-10CADC,,Trump,Republican,,Undetermined,,,,"June 10, 2025",,,,President of the United States,,,Katsas,"The court issued an administrative stay of the district court's order granting in part a preliminary injunction and class certification, pending further consideration of the emergency motion for a stay pending appeal.",,Trump Administration,,,Neutral/Procedural,Court of Appeals,Stay of Agency Action,Class Action,United States Court of Appeals FOR THE DISTRICT OF COLUMBIA CIRCUIT
Judge Stephanie A. Gallagher,Judge Stephanie A. Gallagher,JOP2025-04-23DMD,"{'name': 'Stephanie A. Gallagher', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Holding', 'role': 'Author'}",[],[],To address a USCIS policy that would have resulted in the improper removal of many Class Members by causing their asylum applications to be rejected for lack of jurisdiction and to allow Class Members in removal proceedings to have their asylum applications adjudicated on the merits by USCIS while they remain in the United States with access to their counsel.,Asylum Seeker,Memorandum,U.S. Citizenship and Immigration Services (USCIS),"Administrative Procedure Act (APA) - Procedural Violation (e.g., no notice-and-comment)",2025-04-23,"Unlawful modification of policies governing treatment of asylum applications by unaccompanied alien children, specifically the May 31, 2019 USCIS Memorandum (2019 Redetermination Memo).",Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Nationwide,2019-05-31,Stephanie A. Gallagher,The court granted the plaintiffs' emergency motion to enforce the settlement agreement and their motions to proceed by pseudonym. The court held that the removal of a class member without a final determination on the merits of their asylum application by USCIS violated the settlement agreement and ordered the defendants to facilitate the return of the removed class member to the United States.,Refugee Resettlement,Trump Administration,Unaccompanied alien children seeking asylum,None,Unsupportive of Government Immigration Policy,District Court,Motion to Enforce Settlement,Class Action,"United States District Court, D. Maryland, Southern Division"
Judge Benjamin,Judge Benjamin,JOP2025-05-19CA4,"Judge Benjamin (concurring), Judge Gregory (concurring), Judge Richardson (dissenting)",,,"To apprehend, restrain, secure, and remove Venezuelan citizens aged 14 and older who are members of Tren de Aragua and are not naturalized or lawful permanent residents, as alien enemies.","Noncitizens who entered the United States as unaccompanied children, with pending asylum applications.",Proclamation,President of the United States,"Administrative Procedure Act (APA) - Procedural Violation (e.g., no notice-and-comment), Fifth Amendment - Due Process (Procedural)","May 19, 2025","USCIS procedures for processing the asylum applications of unaccompanied noncitizen children, and the removal of individuals under the Alien Enemies Act.",None,Administrative Procedure Act (APA),"Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS), Immigration and Customs Enforcement (ICE)",Class-wide,"March 14, 2025","Judge Benjamin, Judge Gregory, Judge Richardson","The court denied the motion for a stay pending appeal. Judge Benjamin and Judge Gregory concurred, while Judge Richardson dissented.",Asylum applications of unaccompanied alien children and removal under the Alien Enemies Act.,Trump Administration,Venezuelan citizens 14 years of age or older who are members of Tren de Aragua and are not naturalized or lawful permanent residents.,None,"Judge Benjamin and Judge Gregory were unsupportive of the government's motion for a stay pending appeal, while Judge Richardson was supportive.",Court of Appeals,Motion for stay pending appeal,"Individual Noncitizen, Class Action","United States Court of Appeals, Fourth Circuit"
Judge Gregory,Judge Gregory,JOP2025-05-19CA4,"Judge Benjamin (author of concurring opinion), Judge Gregory (joined concurring opinion and authored separate concurring opinion), and Judge Richardson (author of dissenting opinion).",,,"To apprehend, detain, and remove Venezuelan citizens identified as members of the Tren de Aragua criminal organization, who are not naturalized or lawful permanent residents, from the United States.",Noncitizens who entered the United States as unaccompanied children,Proclamation,President of the United States,Administrative Procedure Act (APA),"May 19, 2025","The Proclamation invoking the Alien Enemies Act to apprehend, detain, and remove Venezuelan citizens identified as members of Tren de Aragua.",Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Nationwide,"March 14, 2025",Benjamin,The court denied the motion for a stay pending appeal.,Asylum application processing for unaccompanied alien children and enforcement of a settlement agreement related to these applications.,Trump Administration,Venezuelan citizens 14 years of age or older who are members of Tren de Aragua and are not naturalized or lawful permanent residents.,None,Judge Gregory concurred with the denial of the stay pending appeal and authored a concurring opinion that was unsupportive of the government's invocation of the Alien Enemies Act and its attempt to void contractual obligations.,Court of Appeals,Motion for stay pending appeal,Individual Noncitizen,"United States Court of Appeals, Fourth Circuit"
Judge Richardson,Judge Richardson,JOP2025-05-19CA4,"{'judge_name': 'Judge Richardson', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Dissenting', 'opinion_role': 'Author'}",[],[],"To apprehend, restrain, secure, and remove Venezuelan citizens 14 years of age or older who are members of Tren de Aragua and are within the United States, and are not naturalized or lawful permanent residents, as alien enemies.",Undocumented,Proclamation,President of the United States,"Administrative Procedure Act (APA) - Procedural Violation (e.g., no notice-and-comment)",2025-05-19,"The Proclamation titled 'Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua' which declared certain Venezuelan citizens members of Tren de Aragua as alien enemies liable for apprehension, detention, and removal.",Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Nationwide,2025-03-14,Judge Benjamin,The court denied the motion for stay pending appeal.,Refugee Resettlement,Trump Administration,Venezuelan citizens 14 years of age or older who are members of Tren de Aragua and are not naturalized or lawful permanent residents.,10903,Unsupportive of Government Immigration Policy,Court of Appeals,Stay of Agency Action,Individual Noncitizen,"United States Court of Appeals, Fourth Circuit"
Victoria M. Calvert,Victoria M. Calvert,JaneDoe2025-04-18NDGA,"{'name': 'Victoria M. Calvert', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Supportive of Government Immigration Policy', 'role': 'Authoring Opinion'}",[],[],To manage information on nonimmigrant students and exchange visitors to track their compliance with the terms of their status.,F-1 Student,Guidance,Department of Homeland Security (DHS),Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-04-18,Termination of F-1 student status in the Student and Exchange Visitor (SEVIS) system.,None,Administrative Procedure Act (APA),President of the United States,Nationwide,None,Victoria M. Calvert,"The court granted the plaintiffs' motion for a temporary restraining order, enjoining the defendants from terminating their F-1 student status in the SEVIS system and requiring the defendants to set aside their termination decisions, restore F-1 status, and restore OPT and CPT work authorizations.",Student Visas,Other,Nonimmigrant students holding F-1 student visas.,None,Unsupportive of Government Immigration Policy,District Court,Temporary Restraining Order,Individual Noncitizen,"United States District Court, N.D. Georgia, Atlanta Division"
Judge Victoria Marie Calvert,Judge Victoria Marie Calvert,JaneDoe2025-05-02NDGA,"{'name': 'Victoria Marie Calvert', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Preliminary Injunction Order and Opinion', 'role': 'Author'}",[],[],To track compliance of nonimmigrant students and exchange visitors with the terms of their status.,F-1 Student,Guidance,Department of Homeland Security (DHS),Administrative Procedure Act (APA) - Arbitrary and Capricious,05/02/2025,Termination of F-1 student status by terminating their SEVIS records.,None,Administrative Procedure Act (APA),Attorney General of the United States,Class-wide,None,Victoria Marie Calvert,"Granted Plaintiffs' Motion for Temporary Restraining Order and converted it into a preliminary injunction, ordering Defendants to reinstate Plaintiffs' student status and SEVIS authorization.",Student Visas,Other,F-1 nonimmigrant students,None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,United States District Court for the Northern District of Georgia
Michael E. Farbiarz,Michael E. Farbiarz,Khalil2025-05-28DNJ,Michael E. Farbiarz,None,None,To remove foreign nationals from the United States based on a determination by the Secretary of State that their presence or activities would compromise a compelling U.S. foreign policy interest.,Legal Permanent Resident,Determination,Secretary of State,Administrative Procedure Act (APA) - Arbitrary and Capricious,"May 28, 2025","Removal of a lawful permanent resident based on a determination by the Secretary of State that his presence compromises a compelling foreign policy interest, and also based on allegations of providing inaccurate information on his lawful permanent residence application.",None,Administrative Procedure Act (APA),President of the United States,Undetermined,None,Michael E. Farbiarz,"The court held that the resident was likely to succeed on the merits of his claim that the INA provision was unconstitutionally vague as applied to him. However, the resident failed to demonstrate likelihood of success on his First Amendment challenge and failed to establish irreparable injury. The motion for a preliminary injunction was denied in part.",Detention/Removal,Trump Administration,Foreign nationals whose presence or activities in the United States are determined by the Secretary of State to compromise a compelling U.S. foreign policy interest.,None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, D. New Jersey"
Judge Michael E. Farbiarz,Judge Michael E. Farbiarz,Khalil2025-06-11DNJ,"{'name': 'Michael E. Farbiarz', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Supportive of Government Immigration Policy', 'role': 'Author'}",[],[],To address a compelling foreign policy interest by determining that the continued activities or presence of a lawful permanent resident in the United States would compromise this interest.,Legal Permanent Resident,Determination,Secretary of State,Fifth Amendment - Due Process (Procedural),2025-06-11,The Secretary of State's determination that the lawful permanent resident's activities and presence in the United States would compromise a compelling foreign policy interest.,None,Administrative Procedure Act (APA),President of the United States,Nationwide,None,Michael E. Farbiarz,"The court granted a preliminary injunction, enjoining federal officials from removing the petitioner from the United States based on the Secretary of State's determination and from detaining him on that basis. A nominal bond of one dollar was required.",Immigration Enforcement,Trump Administration,Lawful permanent resident,None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, D. New Jersey"
RUDOLPH CONTRERAS,RUDOLPH CONTRERAS,LasAmericas2025-02-06DDC,"{'name': {'answer': 'RUDOLPH CONTRERAS', 'excerpts': ['RUDOLPH CONTRERAS, United States District Judge']}, 'appointing_president': None, 'appointing_party': None, 'voting_tendency': {'answer': 'Unsupportive of Government Immigration Policy', 'excerpts': ['For the reasons discussed below, the motion is denied.']}, 'role': {'answer': 'Author', 'excerpts': ['RUDOLPH CONTRERAS, United States District Judge']}}",[],[],"To restrict asylum applications at the U.S.-Mexico border for noncitizens arriving between ports of entry, with limited exceptions, and to provide an alternative through the CBP One smartphone application.",Asylum Seeker,Final Rule,Department of Homeland Security (DHS),Administrative Procedure Act (APA) - Arbitrary and Capricious,"February 6, 2025","A Final Rule and its predecessor Interim Final Rule restricting asylum applications at the U.S.-Mexico border for noncitizens arriving between ports of entry, and an executive order that closed the southern border and shut down the CBP One mobile application.",Securing Our Borders,Immigration and Nationality Act (INA),Department of Homeland Security (DHS),Undetermined,"October 7, 2024",RUDOLPH CONTRERAS,"The court denied the plaintiffs' motion for a temporary restraining order, finding that it lacked the authority to grant the requested relief (parole into the U.S.) because parole is a discretionary remedy committed to the Secretary of Homeland Security, and the specific reason for the cancellation of the plaintiffs' asylum appointment was an executive order not challenged in this litigation.",Asylum applications at the U.S.-Mexico border,Trump Administration,Noncitizens arriving at the U.S.-Mexico border between ports of entry who seek asylum.,None,Unsupportive of Government Immigration Policy,District Court,Temporary Restraining Order,Immigrant Advocacy Group,"United States District Court, District of Columbia"
Judge Rudolph Contreras,Judge Rudolph Contreras,LasAmericas2025-05-09DDC,"{'judge_name': 'Rudolph Contreras', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Unsupportive of Government Immigration Policy', 'opinion_role': 'Author'}",[],[],"To generally limit asylum eligibility to noncitizens who arrive at a port of entry during ""emergency border circumstances.""",Asylum Seeker,Interim Final Rule,Department of Homeland Security (DHS),Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-05-09,"A joint rule by DHS and DOJ generally limiting asylum eligibility to noncitizens who arrive at a port of entry, and implementing guidance establishing a four-hour minimum window for asylum seekers to consult with an attorney before their credible fear interviews.",None,Immigration and Nationality Act (INA),Department of Homeland Security (DHS),Nationwide,2024-06-04,Rudolph Contreras,"Granted in part and denied in part Plaintiffs' motion for summary judgment; granted in part and denied in part Defendants' cross-motion for summary judgment. The court vacated the limitation on asylum eligibility, the manifestation of fear requirement, and the Guidance. The court also vacated individual plaintiffs' negative credible fear decisions and removal orders.",Immigration Enforcement,Biden Administration,Noncitizens seeking asylum at the southern border.,None,Unsupportive of Government Immigration Policy,District Court,Motion for Summary Judgment,Immigrant Advocacy Group,"United States District Court, District of Columbia"
"David Briones, Senior United States District Judge","David Briones, Senior United States District Judge",MAPS2025-06-09WDTX,"{'name': 'David Briones', 'appointing_president': 'Bill Clinton', 'appointing_party': 'Democratic', 'opinion_type': 'Author/Joined', 'role': 'Author'}",Bill Clinton,Democratic,"To declare that all Venezuelan citizens 14 years of age or older who are members of the Tren de Aragua (TdA) criminal organization, are within the United States, and are not naturalized or lawful permanent residents are liable to be apprehended, restrained, secured, and removed as alien enemies under the Alien Enemies Act (AEA).",TPS Holder,Proclamation,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,"June 9, 2025","Presidential Proclamation 10903, invoking the Alien Enemies Act against members of the Tren de Aragua (TdA) criminal organization.",Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua,Immigration and Nationality Act (INA),President of the United States,Nationwide,"March 14, 2025",David Briones,"The court granted the petition and motion, declared Proclamation 10903 unlawful, enjoined respondents from removing Petitioner or any member of the certified class pursuant to Proclamation 10903, and ordered that designees under the Alien Enemies Act must receive at least thirty days' notice and a meaningful opportunity to respond prior to removal.",Immigration Enforcement,Trump Administration,"Venezuelan citizens 14 years of age or older who are members of the Tren de Aragua (TdA) criminal organization, are within the United States, and are not naturalized or lawful permanent residents.",10903,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, W.D. Texas, El Paso Division"
William K. Sessions III,William K. Sessions III,Mahdawi2025-04-14DVT,"{'judge_name': 'William K. Sessions III', 'appointing_president': 'George W. Bush', 'appointing_party': 'Republican', 'opinion_type': 'Authoring', 'role': 'Author'}",George W. Bush,Republican,To prevent the removal of a petitioner from the United States or out of the District of Vermont pending further court order.,Other Nonimmigrant,Order,United States District Judge,Jurisdiction,"April 14, 2025","The potential removal of the petitioner, Mohsen Madawi, from the United States or out of the District of Vermont.",None,Jurisdiction,President of the United States,Nationwide,None,William K. Sessions III,"The court ordered that the petitioner, Mohsen Madawi, not be removed from the United States or moved out of the District of Vermont pending further order.",Detention/Removal,Trump Administration,"Petitioner, Mohsen Madawi",None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, D. Vermont"
Geoffrey W. Crawford,Geoffrey W. Crawford,Mahdawi2025-04-30DVT,"{'name': 'Geoffrey W. Crawford', 'appointing_president': 'Other', 'appointing_party': 'Other', 'opinion_type': 'Holding', 'role': 'Author'}",Other,Other,To protect United States citizens from aliens who espouse hateful ideology and to combat anti-Jewish racism.,Legal Permanent Resident,Executive Order,President of the United States,Fifth Amendment - Due Process (Substantive),2025-04-30,"Detention and attempted removal of an individual based on alleged foreign policy consequences and compelling U.S. foreign policy interests, and claims of retaliatory detention for constitutionally protected speech.",Additional Measures to Combat Anti-Semitism,First Amendment,President of the United States,Undetermined,2025-01-01,Geoffrey W. Crawford,"The court granted the motion for release and denied the request for a stay pending appeal, ordering the release of Mohsen Mahdawi on his personal recognizance.",Detention/Removal,Trump Administration,"Aliens who espouse hateful ideology, Hamas sympathizers on college campuses, resident aliens who joined pro-jihadist protests.",14161,Unsupportive of Government Immigration Policy,District Court,Petition for Writ of Habeas Corpus,Individual Noncitizen,"United States District Court, D. Vermont"
"Fernando Rodriguez, Jr.","Fernando Rodriguez, Jr.",Matos2025-04-07SDTX,"{'name': 'Fernando Rodriguez, Jr.', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Supportive of Government Immigration Policy', 'role': 'Authoring Opinion'}",[],[],To identify and remove Venezuelan citizens affiliated with Tren de Aragua (TdA) as alien enemies.,Other Nonimmigrant,Proclamation,President of the United States,Balance of Equities/Public Interest,2025-04-07,"A Proclamation by the President of the United States declaring Venezuelan citizens aged 14 or older who are members of TdA and within the United States, and are not naturalized or lawful permanent residents, liable to be apprehended, restrained, secured, and removed as Alien Enemies.",None,[],President of the United States,Individual,2025-03-14,"Fernando Rodriguez, Jr.","The Court converted the Temporary Restraining Order into a Preliminary Injunction, enjoining Respondents from transferring or relocating Daniel Enrique Zacarias Matos from the El Valle Detention Center, and from transporting him outside of Willacy County or Cameron County, Texas, without a court order. This injunction is to maintain the status quo through an evidentiary hearing and subsequent court consideration.",Immigration Enforcement,Other,"Venezuelan citizens 14 years of age or older who are members of TdA, within the United States, and not naturalized or lawful permanent residents.",None,Supportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,United States District Court Southern District of Texas
"Fernando Rodriguez, Jr.","Fernando Rodriguez, Jr.",Matos20250513DSDTX,"{'name': 'Fernando Rodriguez, Jr.', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Neutral/Procedural', 'role': 'Author'}",[],[],None,None,None,None,[],"May 13, 2025",None,None,[],[],None,None,"Fernando Rodriguez, Jr.",Plaintiff Daniel Enrique Zacarias Matos’s causes of action are DISMISSED WITHOUT PREJUDICE.,None,None,None,None,Neutral/Procedural,District Court,Motion to Dismiss,Individual Noncitizen,"United States District Court, Southern District of Texas"
Judge Trina L. Thompson,Judge Trina L. Thompson,NationalTPS2025-07-31NDCA,"{'name': 'Trina L. Thompson', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'granting motion to postpone', 'opinion_role': 'author'}",[],[],To provide temporary protection from removal and work authorization to nationals of designated countries facing unsafe conditions.,TPS Holder,Designation,Secretary of Homeland Security,Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-07-31,"Termination of Temporary Protected Status (TPS) for nationals of Nepal, Honduras, and Nicaragua.",Protecting the American People Against Invasion,Administrative Procedure Act (APA),Secretary of Homeland Security,Nationwide,None,Trina L. Thompson,"Granted Plaintiffs' motion to postpone the effective date of TPS terminations, preserving the status quo until a hearing on the merits.",Immigration Enforcement,Trump Administration,"Nationals of Nepal, Honduras, and Nicaragua designated for Temporary Protected Status (TPS).",14159,Unsupportive of Government Immigration Policy,District Court,Motion to Postpone,Individual Noncitizen,"United States District Court, N.D. California"
Judge HAWKINS,Judge HAWKINS,NationalTPS2025-08-20CA9,"{'name': 'HAWKINS', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'joining', 'role': 'authoring'}",[],[],None,None,None,None,Jurisdiction,08/20/25,The district court’s order granting plaintiffs’ motion to postpone.,None,None,President of the United States,Undetermined,None,HAWKINS,The government’s motion for a stay pending appeal is granted. The district court’s order granting plaintiffs’ motion to postpone is stayed pending further order of this court. The government’s motion for a stay of proceedings in the district court is denied.,None,Other,None,None,Supportive of Government Immigration Policy,Court of Appeals,Stay of Agency Action,Class Action,UNITED STATES COURT OF APPEALS FOR THE NINTH CIRCUIT
Judge CALLAHAN,Judge Callahan,NationalTPS2025-08-20CA9,"{'name': 'CALLAHAN', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'joining', 'role': 'joining'}",[],[],None,None,None,None,Balance of Equities/Public Interest,08/20/25,The district court’s order granting plaintiffs’ motion to postpone.,None,None,President of the United States,Undetermined,None,HAWKINS,"The government’s motion for a stay pending appeal is granted, and the district court’s order granting plaintiffs’ motion to postpone is stayed pending further order of this court. The government's motion for a stay of proceedings in the district court is denied.",None,Other,None,None,Supportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Immigrant Advocacy Group,U.S. COURT OF APPEALS FOR THE NINTH CIRCUIT
Judge MILLER,Judge MILLER,NationalTPS2025-08-20CA9,"{'name': 'MILLER', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'majority', 'role': 'author'}",[],[],The purpose of the policy instrument is not explicitly stated in the provided text.,"The specific immigration statuses of the individual plaintiffs are not detailed in the provided text, but the case name suggests involvement with Temporary Protected Status (TPS).",The specific type of policy instrument is not explicitly stated in the provided text.,The issuing authority of the policy instrument is not explicitly stated in the provided text.,"The court cited factors governing the issuance of a stay pending appeal, referencing Nken v. Holder.",2025-08-20,The case involves a government motion for a stay pending appeal of a district court's order granting plaintiffs' motion to postpone.,None,The legal grounds for the plaintiffs' challenge are not explicitly stated in the provided text.,President of the United States,The scope of the stay is pending further order of the court.,None,HAWKINS,"The government's motion for a stay pending appeal is granted, and the district court's order granting plaintiffs' motion to postpone is stayed. The government's motion for a stay of proceedings in the district court is denied.","The case involves a stay pending appeal related to a district court's order concerning a postponement, with implications for immigration policy.","The administration at issue is not explicitly stated, but the case involves a government motion.","The target group of the policy instrument is not explicitly stated in the provided text, but the case name suggests it relates to Temporary Protected Status (TPS).",None,Supportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Class Action,Ninth Circuit Court of Appeals
Judge Sorokin,Judge Sorokin,NewJersey2025-07-25DMA,"{'name': 'Leo T. Sorokin', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Order on Scope of Preliminary Injunction', 'role': 'Authoring'}",[],[],To protect the meaning and value of American citizenship.,None,Executive Order,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,"July 25, 2025","Executive Order 14160, ""Protecting the Meaning and Value of American Citizenship,"" which allegedly violates the Fourteenth Amendment and a federal statute.",Protecting the Meaning and Value of American Citizenship,Fourteenth Amendment,President of the United States,Nationwide,None,Leo T. Sorokin,"The court found that a nationwide preliminary injunction was necessary to provide complete relief to the plaintiffs and declined to modify the original injunction, finding no workable, narrower alternative that would sufficiently protect the plaintiffs against the harms they had demonstrated.",Immigration Enforcement,Trump Administration,Individuals who would not be recognized as having U.S. citizenship under the Executive Order.,14160,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,State Government,"United States District Court, District of Massachusetts"
Judge Leo T. Sorokin,Judge Leo T. Sorokin,ODoe2025-02-13DMA,"{'name': 'Leo T. Sorokin', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Holding', 'role': 'Author/Joiner'}",[],[],"To define the scope of birthright citizenship in the United States by directing federal agencies to cease issuing or accepting documents recognizing United States citizenship for individuals born after February 19, 2025, to parents who are not U.S. citizens or lawful permanent residents.",Other Nonimmigrant,Executive Order,President of the United States,Fifth Amendment - Due Process (Procedural),2025-02-13,Executive Order that sought to redefine birthright citizenship by excluding children born in the U.S. to non-citizen or non-permanent resident parents.,Protecting the Meaning and Value of American Citizenship,Fourteenth Amendment,President of the United States,Nationwide,2025-01-20,Leo T. Sorokin,"The court granted the plaintiffs' motions for a preliminary injunction, enjoining the implementation and enforcement of the Executive Order.",Immigration Enforcement,Trump Administration,"Individuals born in the United States to parents who are not U.S. citizens or lawful permanent residents, specifically those born after February 19, 2025, where at least one parent is unlawfully present or temporarily present in the U.S.",14160,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, D. Massachusetts"
